history,horizon,station,seed,arm,sse,element_count,rmse,mae,smape_percent
168,6,9033,7003,st_sparse_station_bias_delta_forecast,2320341.79908611,9474,15.649818011333297,9.65552646016078,26.433983447838983
168,6,9033,7004,degraded_patchtst,2536038.4309783466,9474,16.36105200442204,10.092751388638387,27.356143095809827
168,6,9033,7004,st_sparse_station_bias_delta_forecast,2271325.0795701966,9474,15.48363617463048,9.420185568062394,25.723421055858907
168,6,9033,7005,degraded_patchtst,2565669.9427660108,9474,16.456357103701674,10.220556648516922,27.84198511138987
168,6,9033,7005,st_sparse_station_bias_delta_forecast,2306244.2836577026,9474,15.602204405646313,9.56724695729535,26.120697216726267
168,6,9038,7001,degraded_patchtst,1231069.8625929942,9474,11.399207510874417,8.187931539138107,27.421870942968336
168,6,9038,7001,st_sparse_station_bias_delta_forecast,1145100.6137422486,9474,10.993984833860429,7.898608809662993,26.141274895871884
168,6,9038,7002,degraded_patchtst,1334170.2115677523,9474,11.866945004573942,8.639255150828603,29.0287928786306
168,6,9038,7002,st_sparse_station_bias_delta_forecast,1213058.7202664216,9474,11.315512322114703,8.22975759222358,27.292413597691194
168,6,9038,7003,degraded_patchtst,1247703.284055466,9474,11.47595849575041,8.251293171501523,27.35140427851971
168,6,9038,7003,st_sparse_station_bias_delta_forecast,1167854.4646877944,9474,11.10267615701553,7.9957513966237235,26.595991679012403
168,6,9038,7004,degraded_patchtst,1260045.2508372073,9474,11.532577471341334,8.33235954870925,27.700994258555788
168,6,9038,7004,st_sparse_station_bias_delta_forecast,1171232.2551333995,9474,11.11872072273493,7.99647583598096,26.684353824825486
168,6,9038,7005,degraded_patchtst,1227934.9849399815,9474,11.384684411676535,8.132228236674559,26.96689587623459
168,6,9038,7005,st_sparse_station_bias_delta_forecast,1161368.9135976054,9474,11.071804492399751,7.947039226703511,26.36452737560279
168,6,9039,7001,degraded_patchtst,1328642.3798297367,9474,11.842335489276962,7.867776686112942,22.69752612014062
168,6,9039,7001,st_sparse_station_bias_delta_forecast,1324348.0444775957,9474,11.823182058817599,7.79962200742999,21.990878014035754
168,6,9039,7002,degraded_patchtst,1282932.4077794142,9474,11.636843608659962,7.4665265054120935,20.761835710894854
168,6,9039,7002,st_sparse_station_bias_delta_forecast,1264295.37881404,9474,11.55201076863292,7.416609912072653,20.69914621896764
168,6,9039,7003,degraded_patchtst,1322062.365852207,9474,11.812974898845612,7.703413188017092,21.79020898688461
168,6,9039,7003,st_sparse_station_bias_delta_forecast,1330101.9407524806,9474,11.848838317292337,7.719054958149429,21.728872241937513
168,6,9039,7004,degraded_patchtst,1303771.904081733,9474,11.730975256149414,7.6899750135557445,22.150336632152783
168,6,9039,7004,st_sparse_station_bias_delta_forecast,1300118.9801995899,9474,11.71452973460992,7.6608598593143515,21.93390806129976
168,6,9039,7005,degraded_patchtst,1345352.9308918812,9474,11.916574279010273,7.796380340587446,22.400687783575478
168,6,9039,7005,st_sparse_station_bias_delta_forecast,1321771.9596338598,9474,11.811677399624816,7.772169779543386,22.184722241379625
168,6,9045,7001,degraded_patchtst,3420589.8365432685,9474,19.001321678148983,13.071158578432586,36.455224519414806
168,6,9045,7001,st_sparse_station_bias_delta_forecast,3360768.887383471,9474,18.834436611382166,12.860780681515887,35.97825406908533
168,6,9045,7002,degraded_patchtst,3494397.975262024,9474,19.205229103471467,13.226537496700855,36.53828138821586
168,6,9045,7002,st_sparse_station_bias_delta_forecast,3431028.4827050334,9474,19.03029284808833,13.008377131767507,36.08086865866413
168,6,9045,7003,degraded_patchtst,3246716.280123462,9474,18.512091114434313,12.684758627845035,35.1227526204193
168,6,9045,7003,st_sparse_station_bias_delta_forecast,3161746.2088800706,9474,18.268244396006704,12.458059393053496,34.55861769200489
168,6,9045,7004,degraded_patchtst,3510936.725241732,9474,19.250623981293998,13.259916088111495,37.137070058927875
168,6,9045,7004,st_sparse_station_bias_delta_forecast,3385719.98815923,9474,18.90422286115716,12.957394752317223,36.17931860346189
168,6,9045,7005,degraded_patchtst,3422525.222186804,9474,19.00669643609454,13.038262387582312,36.22051681495345
168,6,9045,7005,st_sparse_station_bias_delta_forecast,3296635.7209021794,9474,18.653863302193347,12.735260473214701,35.34533579421974
168,6,9046,7001,degraded_patchtst,2609997.735897507,9474,16.597908843951913,11.01721300020836,31.71140139862569
168,6,9046,7001,st_sparse_station_bias_delta_forecast,2613456.447981226,9474,16.60890279634702,11.274716140500649,32.81912913057876
168,6,9046,7002,degraded_patchtst,2740340.079883354,9474,17.007306604142585,11.564545524706688,34.57291445599696
168,6,9046,7002,st_sparse_station_bias_delta_forecast,2688722.2333173756,9474,16.846367830151223,11.609768405050222,33.8781534715992
168,6,9046,7003,degraded_patchtst,2752796.5214929087,9474,17.045916834095323,11.53573743809319,33.72068336678882
168,6,9046,7003,st_sparse_station_bias_delta_forecast,2699873.7511436692,9474,16.881266969415595,11.529241561285675,33.790547092912846
168,6,9046,7004,degraded_patchtst,2644652.9435343007,9474,16.70773790063175,11.277233520992603,33.43899936712732
168,6,9046,7004,st_sparse_station_bias_delta_forecast,2619032.945488412,9474,16.626613087775073,11.263079330793836,32.954245203502886
168,6,9046,7005,degraded_patchtst,2715350.55596736,9474,16.9295830654645,11.351288484022138,33.15046357482402
168,6,9046,7005,st_sparse_station_bias_delta_forecast,2687356.1707111606,9474,16.84208770841037,11.364509998254693,33.01412857951298
