history,horizon,station,seed,quantile_bin,count,base_smape_percent,spatial_smape_percent,smape_change_percent_points,base_rmse,spatial_rmse,base_mae,spatial_mae
24,1,9038,7005,3,438,14.208181109760254,13.515373005081807,-0.6928081046784467,6.287411042061887,5.969691322842893,4.737245494372224,4.518079718498335
24,1,9038,7005,4,340,11.498451329523173,10.869008507068969,-0.6294428224542035,7.953034887660282,7.5100722073390145,5.534497333975399,5.220753624859978
24,1,9038,7005,5,192,12.238064816516408,12.447651502997193,0.20958668648078493,12.800685558675958,12.7066009702404,9.04457406202952,9.082565625508627
24,1,9039,7001,1,278,9.557293789254441,9.88179955341108,0.3245057641566387,2.446134720554153,2.4722718214243375,1.3606954684360422,1.4005774491124874
24,1,9039,7001,2,283,8.920074808860875,8.805689649230693,-0.11438515963018148,4.280403021782457,4.264877628957621,2.2464049443760525,2.2285663348625913
24,1,9039,7001,3,513,7.901763488518612,7.7909515983797775,-0.11081189013883463,3.745601802969744,3.7213207538625923,2.629183577747605,2.601770865754542
24,1,9039,7001,4,319,9.242545619604865,9.18375958655495,-0.058786033049914366,6.038509023879945,5.999467073849454,4.182161863321047,4.164442104231975
24,1,9039,7001,5,335,9.308807841144908,9.280722181060815,-0.028085660084093078,10.107252668708492,10.086863337908762,6.804874112712803,6.7965812341490786
24,1,9039,7002,1,278,9.374751551905854,11.615721184561568,2.2409696326557142,2.5162427670992678,2.609519423951765,1.350324905175957,1.6149791676363499
24,1,9039,7002,2,283,8.743818298729002,8.504525603983046,-0.23929269474595571,4.29958313227002,4.1979225334731,2.2156879438528323,2.1768993606836973
24,1,9039,7002,3,513,7.755515634854588,7.379368545711934,-0.3761470891426546,3.694157722488382,3.559946506502842,2.5852238281428463,2.4804249590600445
24,1,9039,7002,4,319,9.059053431910218,8.830998960042402,-0.22805447186781613,6.0147543680472655,5.8286123765397555,4.105693296952681,4.021048530889529
24,1,9039,7002,5,335,8.909429402966142,9.003537868294886,0.09410846532874473,9.908569650081239,9.926024616739513,6.520639801025391,6.631573110551977
24,1,9039,7003,1,278,9.378350999946093,11.491293429468067,2.112942429521974,2.5291399230383695,2.63473785280379,1.3614368987598007,1.6198745905924186
24,1,9039,7003,2,283,8.753928510554989,8.416520618277952,-0.33740789227703694,4.268085457932554,4.145647344999621,2.2210326851888595,2.1574616381641833
24,1,9039,7003,3,513,7.738293103260759,7.377890055298017,-0.36040304796274203,3.699380681166714,3.5650206675596974,2.5843684213203297,2.4822806865848297
24,1,9039,7003,4,319,9.02385233063359,8.854985795420072,-0.16886653521351747,6.035171475666103,5.841209444736915,4.099298734276272,4.030605824389801
24,1,9039,7003,5,335,8.873832557186661,8.977904668134268,0.10407211094760704,9.890443561635642,9.93139184182541,6.506257959622055,6.619632789270201
24,1,9039,7004,1,278,10.460413733507927,10.95919289264593,0.4987791591380031,2.638592311449603,2.630933281207231,1.502654151093188,1.5525083198821803
24,1,9039,7004,2,283,8.850188045440195,8.543769848793692,-0.3064181966465025,4.403874001105491,4.323574464211973,2.2545956588044183,2.1843264549444084
24,1,9039,7004,3,513,8.090578308417845,7.776474764928275,-0.31410354348957004,3.7894333952868635,3.680446458488103,2.700167691266095,2.6013303128367045
24,1,9039,7004,4,319,9.24183189212424,9.128450637543036,-0.11338125458120452,5.981088872884492,5.886608607509412,4.178403609224995,4.133423210311459
24,1,9039,7004,5,335,9.220578612019354,9.186732323608389,-0.03384628841096493,9.985860163183988,9.943872645249053,6.7198115220710415,6.719190068031425
24,1,9039,7005,1,278,8.87677420112516,9.627671174085904,0.750896972960744,2.393577285878247,2.4525181846377806,1.2681433657090442,1.3592697459159138
