history,horizon,station,seed,arm,peak_threshold_ugm3,coverage_count,sse,element_count,rmse,mae,smape_percent
168,6,9033,7003,degraded_patchtst,79.0,552,1185833.8154033404,552,46.34921429307903,35.95012904595637,39.959025400518264
168,6,9033,7003,st_sparse_station_bias_delta_forecast,79.0,552,1112224.8415628604,552,44.88763833501421,34.800686649654224,38.11948293893874
168,6,9033,7004,degraded_patchtst,79.0,552,1088232.0336789098,552,44.40084282557273,33.44126326795937,36.419704661470256
168,6,9033,7004,st_sparse_station_bias_delta_forecast,79.0,552,1066063.7836856823,552,43.94627368099685,33.262936180916384,35.989142532988375
168,6,9033,7005,degraded_patchtst,79.0,552,1162334.476767363,552,45.88767154629743,34.904093199881956,38.42440199759531
168,6,9033,7005,st_sparse_station_bias_delta_forecast,79.0,552,1085799.8840829025,552,44.3511981293911,33.55500176678533,36.327171785897924
168,6,9038,7001,degraded_patchtst,72.0,414,322208.45457629056,414,27.897693296168388,23.119567115525694,32.24391962770877
168,6,9038,7001,st_sparse_station_bias_delta_forecast,72.0,414,336188.69071946316,414,28.49649061872785,24.07482183613063,33.618126645424255
168,6,9038,7002,degraded_patchtst,72.0,414,309975.8183807891,414,27.363001677870834,22.758104375019165,31.44878118371644
168,6,9038,7002,st_sparse_station_bias_delta_forecast,72.0,414,328912.6400413954,414,28.186432479925504,23.777653846187867,33.058190202654124
168,6,9038,7003,degraded_patchtst,72.0,414,326773.8732327915,414,28.094641349249766,23.23617170398362,32.39496263963918
168,6,9038,7003,st_sparse_station_bias_delta_forecast,72.0,414,346428.2499117933,414,28.927205401616774,24.483096518954216,34.236213160262395
168,6,9038,7004,degraded_patchtst,72.0,414,303126.33381652104,414,27.058995031545436,22.219155643297277,30.86706390642211
168,6,9038,7004,st_sparse_station_bias_delta_forecast,72.0,414,336366.8047342234,414,28.50403839234078,24.035484548928082,33.604172548453946
168,6,9038,7005,degraded_patchtst,72.0,414,337984.40291820385,414,28.572494582418386,23.928856264565876,33.519260620256034
168,6,9038,7005,st_sparse_station_bias_delta_forecast,72.0,414,350798.77614433656,414,29.10910577458507,24.86971790663862,34.78312712637807
168,6,9039,7001,degraded_patchtst,67.0,869,554619.5595701397,869,25.26316174348514,19.307530121095436,25.530591348327945
168,6,9039,7001,st_sparse_station_bias_delta_forecast,67.0,869,593847.0693820379,869,26.14131441218711,20.36316042198822,27.059688378906095
168,6,9039,7002,degraded_patchtst,67.0,869,568239.557220041,869,25.57147876336137,19.418514326334822,25.659975939703926
168,6,9039,7002,st_sparse_station_bias_delta_forecast,67.0,869,583390.3551417827,869,25.91013848559426,19.860743396438583,26.21063690250134
168,6,9039,7003,degraded_patchtst,67.0,869,541875.5320282668,869,24.971226987229077,19.108202241781253,25.205887255584162
168,6,9039,7003,st_sparse_station_bias_delta_forecast,67.0,869,588479.3217481464,869,26.022901345098692,20.30681125478448,26.985088492104698
168,6,9039,7004,degraded_patchtst,67.0,869,518242.6374826442,869,24.42061980051853,18.437403118102818,24.184966468195505
168,6,9039,7004,st_sparse_station_bias_delta_forecast,67.0,869,556365.0793606993,869,25.302885105484197,19.321855389207634,25.497870008224844
168,6,9039,7005,degraded_patchtst,67.0,869,583882.3129346699,869,25.92106085371756,20.047105089018615,26.641761456782483
168,6,9039,7005,st_sparse_station_bias_delta_forecast,67.0,869,588448.6920507642,869,26.022224104679427,20.224422902589016,26.746967514063908
168,6,9045,7001,degraded_patchtst,75.0,644,1392386.525279433,644,46.498288976725746,37.966721996757556,47.191215884361156
168,6,9045,7001,st_sparse_station_bias_delta_forecast,75.0,644,1408190.4006227602,644,46.76142701915372,38.234939477458504,47.504056126018234
168,6,9045,7002,degraded_patchtst,75.0,644,1331926.4058336716,644,45.47756265138525,36.67907438811308,45.34986258818033
168,6,9045,7002,st_sparse_station_bias_delta_forecast,75.0,644,1354988.9879317298,644,45.86959960143378,37.058183892173055,45.92508327481774
168,6,9045,7003,degraded_patchtst,75.0,644,1312527.107442032,644,45.14516109797551,36.836003105092495,45.11069314648004
168,6,9045,7003,st_sparse_station_bias_delta_forecast,75.0,644,1332640.2820814482,644,45.48974838577376,37.23180068946033,45.67203593141907
168,6,9045,7004,degraded_patchtst,75.0,644,1344823.978715516,644,45.69722083228125,36.96503272560072,45.73802020373461
168,6,9045,7004,st_sparse_station_bias_delta_forecast,75.0,644,1349207.8489685124,644,45.77164235353507,37.17904098877996,45.840511907614726
168,6,9045,7005,degraded_patchtst,75.0,644,1338361.4111873987,644,45.587289336488915,36.9654795694055,45.28152844447763
168,6,9045,7005,st_sparse_station_bias_delta_forecast,75.0,644,1376306.3191741605,644,46.229012682778254,37.844027513302635,46.49977519343959
168,6,9046,7001,degraded_patchtst,86.0,618,967512.658939265,618,39.56708814536417,31.535146015747465,36.77649790207483
168,6,9046,7001,st_sparse_station_bias_delta_forecast,86.0,618,918950.2153951402,618,38.56130779120682,30.537918152546805,35.153482138163746
168,6,9046,7002,degraded_patchtst,86.0,618,901595.6054979069,618,38.19545215769272,29.688187901641946,34.333909890630544
168,6,9046,7002,st_sparse_station_bias_delta_forecast,86.0,618,919889.9049031511,618,38.581018542188225,30.80498671300203,35.34764538114963
168,6,9046,7003,degraded_patchtst,86.0,618,993569.0056577949,618,40.09634444228018,31.98863438109364,37.179660474654234
168,6,9046,7003,st_sparse_station_bias_delta_forecast,86.0,618,950077.90390379,618,39.20896436499837,31.27711006584291,36.05298402499633
168,6,9046,7004,degraded_patchtst,86.0,618,865564.0853710754,618,37.42444568600386,28.758950150128708,33.30504039615426
168,6,9046,7004,st_sparse_station_bias_delta_forecast,86.0,618,942743.533343826,618,39.057329312796874,31.22041876339218,36.25325670737768
168,6,9046,7005,degraded_patchtst,86.0,618,956901.6465248576,618,39.349517675600026,30.72290604168543,35.67430868641575
168,6,9046,7005,st_sparse_station_bias_delta_forecast,86.0,618,936074.5562833118,618,38.91893816680061,30.5505994531329,35.20939030284924
