history,horizon,station,seed,block,base_rmse,base_mae,base_smape_percent,spatial_rmse,spatial_mae,spatial_smape_percent,rmse_reduction_percent
24,1,9039,7004,5,8.11914007816932,4.751229722159249,9.407743719621806,8.034943628730701,4.707424539838518,9.314303904934764,1.0370119080098767
24,1,9039,7005,1,4.688046280131386,3.1369212439300815,8.369676876181003,4.669787111320885,3.115195043954645,8.339075436376055,0.38948354430469795
24,1,9039,7005,2,4.566479670374385,2.900301327392926,9.618457299136987,4.518851441437272,2.882306242940093,9.722191003844786,1.0429966270540205
24,1,9039,7005,3,5.913106475254381,3.44914064679827,7.9252927769798545,5.8747721526275685,3.4476956939697265,7.9146024325169995,0.6482941375609698
24,1,9039,7005,4,4.786908228875842,2.671794308253697,7.884155675934669,4.737072871971111,2.6407664271763394,7.849783278481441,1.041076087569674
24,1,9039,7005,5,8.07458666909105,4.636053183419364,9.058028683219451,8.027792357150519,4.602284175327846,9.01670327219824,0.5795257869936038
24,1,9045,7001,1,10.748667136211715,8.437301017457921,31.8382567835996,10.32999625179478,8.040155708242994,29.811077975563403,3.8950958208246482
24,1,9045,7001,2,12.248228280099113,7.789751585392531,28.809645658007653,11.857466984348148,7.579038207007949,27.732241628476363,3.1903495494599197
24,1,9045,7001,3,14.022870290246845,10.479678780691964,29.811067547823967,13.606166227073679,10.208789318629673,29.02939695536037,2.971603206391994
24,1,9045,7001,4,13.012791936372373,8.950209900992258,29.058463141602907,12.627485717338315,8.662887208121164,27.915263147276757,2.960980402346091
24,1,9045,7001,5,24.08740359167408,14.964876649039132,27.56515550566796,23.74047132102633,14.944360073634556,27.697875225582223,1.4403057985364067
24,1,9045,7002,1,10.349997771592495,8.123250033877312,29.56509710456885,10.219322327516341,7.8969147941752675,28.733478768414965,1.2625649489009256
24,1,9045,7002,2,12.064000412014698,7.741038651208252,28.259480302723283,11.945048235203572,7.631953258460064,27.71539027499039,0.9860093894945483
24,1,9045,7002,3,13.75142073006073,10.217212502615793,28.575112334977526,13.643617750187326,10.18838213784354,28.633184683599932,0.7839406704919222
24,1,9045,7002,4,12.6737242384933,8.674337686811175,27.70030967580564,12.664652471116577,8.684805188860212,27.806244177000817,0.07157933379337239
24,1,9045,7002,5,23.67436531509518,14.537034236363002,26.20898169500808,23.72508021743867,14.911329236711774,27.57521331074298,-0.2142186355093252
24,1,9045,7003,1,10.618687292356622,8.25143933660758,30.318799426647836,10.40089148736195,8.031195795135032,29.460150973561934,2.051061482443718
24,1,9045,7003,2,12.274148631800756,8.017753432618926,28.974448491292183,12.07502458381788,7.850479881308357,28.248579242656035,1.6223043565479622
24,1,9045,7003,3,14.076111318376753,10.56824592590332,29.823152548232056,13.85284319384505,10.424044783455985,29.636367020914495,1.5861491819848033
24,1,9045,7003,4,13.046343169116861,9.04713260105678,28.95376305194431,12.912232097435103,8.939797586713519,28.801498665146134,1.0279590989084528
24,1,9045,7003,5,24.720153140170932,15.394884845188686,27.77177930101467,24.60995033312367,15.676549606323242,28.935194727246728,0.44580147389208297
24,1,9045,7004,1,10.573322235142694,8.22355321715002,30.619780712540834,10.338239253605657,7.965054824082494,29.4453481010142,2.223359662261009
24,1,9045,7004,2,12.050816404270359,7.682836630405524,28.251696145548323,11.844966690462439,7.545176720687127,27.66309799735011,1.708180648532448
24,1,9045,7004,3,13.915228786965484,10.346248212541854,29.17598349737198,13.71524925218552,10.231231629507882,29.05318745645371,1.4371271780115171
24,1,9045,7004,4,12.895392995446468,8.950838410513741,29.052162711709258,12.73525840502655,8.840646493094308,28.925393038729315,1.2417968996870754
24,1,9045,7004,5,23.97630009445178,14.742483662196568,26.923424735730215,23.949894705768948,15.013161043439593,28.10697101972378,0.110131206978605
24,1,9045,7005,1,10.569605258442694,8.249696206609043,31.171664070336725,10.298318066939235,7.968676686651481,29.65890245127515,2.5666728782209063
24,1,9045,7005,2,12.214481915490081,7.849442598826525,28.92781126070309,11.939525117062766,7.698120801876753,28.15043183920784,2.2510721316687365
24,1,9045,7005,3,13.942388283632342,10.429364934648786,29.86132586858074,13.660461693712326,10.247008329119002,29.156008840520915,2.022082473854088
24,1,9045,7005,4,13.046496008841894,8.986625796726772,29.091373962239235,12.830073180831937,8.848421614510672,28.549740136414016,1.6588578869244486
24,1,9045,7005,5,24.451938588003202,14.915841952732631,27.525422250809605,24.30248014348227,15.057091282435826,28.119131045811564,0.61123351828742
24,1,9046,7001,1,11.19159205586781,5.558945915385489,15.814726110408461,10.95386496712229,5.5062149817790464,16.32781402244552,2.124157917468759
24,1,9046,7001,2,7.981695703725576,4.796468055486,19.903872238769353,8.199665161452357,5.063630508901047,20.280953912489778,-2.7308665453763226
24,1,9046,7001,3,9.286224215286968,5.918248263767787,14.608015848186781,9.077714731534435,5.8380849674769815,14.366939736942161,2.2453634428650187
24,1,9046,7001,4,11.362265708889602,5.3820692116873605,14.499365856340999,11.201600398356208,5.35185969216483,14.748336525831466,1.4140252890556253
24,1,9046,7001,5,9.092342156276834,5.404123055594308,11.603272939545043,9.010494033111492,5.420296483721052,11.783997065508187,0.900187451797979
24,1,9046,7002,1,11.229279390322597,5.651816126038904,16.427967859026026,10.906162350674048,5.521612103196824,16.566808467191496,2.8774512452420744
24,1,9046,7002,2,7.835149867161109,4.860617596878964,20.269073252632925,7.854855022232859,4.939066204929624,20.60440749381415,-0.2514968495285453
24,1,9046,7002,3,9.312147860761364,5.998366246904646,14.882439150051999,9.07920318921556,5.863158803667341,14.436022359359757,2.5015138830361963
24,1,9046,7002,4,11.395956130115124,5.478166018894741,15.130470711700264,11.147045294372946,5.382532593863351,15.332853422817372,2.184203176110889
24,1,9046,7002,5,9.119048617748154,5.475502580915179,11.777072819398061,9.026269705970885,5.519079813276019,12.094809158245415,1.0174187644607646
