task,seed,variant,variable,lag,horizon_step,mean_weight,std_weight
168h_6h,2060,F01,CO,3,6,0.029199674725532532,0.014629695564508438
168h_6h,2060,F01,CO,6,1,0.002539402572438121,0.0016254561487585306
168h_6h,2060,F01,CO,6,2,0.021605096757411957,0.002411498222500086
168h_6h,2060,F01,CO,6,3,0.018091583624482155,0.0027352056931704283
168h_6h,2060,F01,CO,6,4,0.012098846025764942,0.0011328705586493015
168h_6h,2060,F01,CO,6,5,0.02301342599093914,0.01081010326743126
168h_6h,2060,F01,CO,6,6,0.01610756665468216,0.005483459215611219
168h_6h,2060,F01,CO,12,1,0.0005597720737569034,0.0003222902014385909
168h_6h,2060,F01,CO,12,2,0.005524096544831991,0.0013779664877802134
168h_6h,2060,F01,CO,12,3,0.1094270870089531,0.03007088042795658
168h_6h,2060,F01,CO,12,4,0.004798019304871559,0.00043177089537493885
168h_6h,2060,F01,CO,12,5,0.011424276046454906,0.005333279725164175
168h_6h,2060,F01,CO,12,6,0.017192808911204338,0.004009293392300606
168h_6h,2060,F01,O3,0,1,0.03651762381196022,0.00697804382070899
168h_6h,2060,F01,O3,0,2,0.00435174023732543,0.0003414763486944139
168h_6h,2060,F01,O3,0,3,0.017462583258748055,0.003995404113084078
168h_6h,2060,F01,O3,0,4,0.035473089665174484,0.0022046512458473444
168h_6h,2060,F01,O3,0,5,0.024636132642626762,0.0014253505505621433
168h_6h,2060,F01,O3,0,6,0.006040484178811312,0.0008805025136098266
168h_6h,2060,F01,O3,1,1,0.025470418855547905,0.01667068712413311
168h_6h,2060,F01,O3,1,2,0.023120233789086342,0.0013509808341041207
168h_6h,2060,F01,O3,1,3,0.002748621627688408,0.0008272221894003451
168h_6h,2060,F01,O3,1,4,0.05077432468533516,0.011337333358824253
168h_6h,2060,F01,O3,1,5,0.0075692408718168736,0.000715994683559984
168h_6h,2060,F01,O3,1,6,0.029671357944607735,0.01643688976764679
168h_6h,2060,F01,O3,2,1,0.001320192590355873,0.00045214410056360066
168h_6h,2060,F01,O3,2,2,0.0031529825646430254,0.0016959701897576451
168h_6h,2060,F01,O3,2,3,0.013074547052383423,0.0018345917342230678
168h_6h,2060,F01,O3,2,4,0.02006104774773121,0.003554908325895667
168h_6h,2060,F01,O3,2,5,0.006045440211892128,0.0024972078390419483
168h_6h,2060,F01,O3,2,6,0.029155759140849113,0.004499902483075857
168h_6h,2060,F01,O3,3,1,0.001754739205352962,0.00048526638420298696
168h_6h,2060,F01,O3,3,2,0.003337366506457329,0.002128953579813242
168h_6h,2060,F01,O3,3,3,0.00708374148234725,0.0009869366185739636
168h_6h,2060,F01,O3,3,4,0.013351067900657654,0.0020169978961348534
168h_6h,2060,F01,O3,3,5,0.004691131412982941,0.0006177600007504225
168h_6h,2060,F01,O3,3,6,0.020209722220897675,0.0030711940489709377
168h_6h,2060,F01,O3,6,1,0.012077346444129944,0.003112288424745202
