task,seed,variant,scenario,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
24h_1h,2060,B_flat,high_pollution,192,34.58759124461135,22.280285517374676,8.783570499080588,-9.687674999237062
24h_1h,2060,B_flat,rapid_rise,125,39.20272033262162,29.88522039794922,22.804101033621077,-29.88522039794922
24h_1h,2060,B_flat,decline,105,45.11683949655913,34.48915063767206,35.19141204545681,34.028419639950705
24h_1h,2060,B_flat,ordinary,539,6.61624487052131,5.035153171348218,23.533966572516846,0.49725979467048703
24h_1h,2060,B3,high_pollution,192,34.861801377833444,22.216463088989258,8.850183901642035,-10.342809836069746
24h_1h,2060,B3,rapid_rise,125,40.4524557294084,31.855097229003906,24.89777230947312,-31.855097229003906
24h_1h,2060,B3,decline,105,45.62010333047956,34.49517498924619,35.44007875572433,34.12723181588309
24h_1h,2060,B3,ordinary,539,6.642823013026539,4.930979585382182,21.533999591367177,0.29168760621702494
24h_1h,2061,F00,high_pollution,192,34.88020999229581,21.222853581110638,8.488394852821674,-4.855742375055951
24h_1h,2061,F00,rapid_rise,125,40.58084374554446,31.306855102539064,26.720235582634878,-31.29990710449219
24h_1h,2061,F00,decline,105,50.38259520854158,39.20023542131696,38.01522886219084,39.126695905412944
24h_1h,2061,F00,ordinary,539,6.546049407297072,4.793039240509769,20.86713927487364,-0.2606228065844589
24h_1h,2061,F10,high_pollution,192,34.20621605522979,21.8473828236262,8.7825235499418,-8.907812237739563
24h_1h,2061,F10,rapid_rise,125,40.13142557701511,31.36043829345703,24.463791798930025,-31.36043829345703
24h_1h,2061,F10,decline,105,46.62528464823659,35.8406379699707,36.65004534091909,35.4598014104934
24h_1h,2061,F10,ordinary,539,6.642450389401089,4.984650111154192,22.08429535528362,0.5155755434053949
24h_1h,2061,F01,high_pollution,192,34.719268501289804,21.230287194252018,8.479979206192013,-5.757509350776672
24h_1h,2061,F01,rapid_rise,125,40.123705112293415,30.488851196289062,25.11843341311221,-30.488851196289062
24h_1h,2061,F01,decline,105,49.80213627313953,39.0362306140718,38.07874271576126,38.89351356143043
24h_1h,2061,F01,ordinary,539,6.316634584370351,4.725273733899854,20.869167187074776,0.7369605791590873
24h_1h,2061,F11,high_pollution,192,33.81467981450183,21.342589378356934,8.542338347107902,-8.722355047861736
24h_1h,2061,F11,rapid_rise,125,39.39045402394926,29.80130990600586,23.126126865622776,-29.80130990600586
24h_1h,2061,F11,decline,105,45.817013569249184,35.49565505981445,36.54396821816244,34.90053482055664
24h_1h,2061,F11,ordinary,539,6.5900958351134085,4.9592567967572325,22.3816340068796,1.0229096704599812
24h_1h,2061,B1,high_pollution,192,34.29365689918445,22.171842217445374,8.890571339046316,-9.852140863736471
24h_1h,2061,B1,rapid_rise,125,40.06151468589489,31.096555114746092,24.279719260059746,-31.096555114746092
24h_1h,2061,B1,decline,105,45.964943506907,35.327015504382906,36.24960089387968,34.751433926536926
24h_1h,2061,B1,ordinary,539,6.5846967512604015,4.814445644230037,21.815497366395178,0.1584398414739209
24h_1h,2061,B2,high_pollution,192,33.8600174686933,21.71209665139516,8.66217706507136,-8.771802385648092
24h_1h,2061,B2,rapid_rise,125,39.13372855168055,29.755792724609375,23.17483374249344,-29.755792724609375
24h_1h,2061,B2,decline,105,46.0591639308432,35.6113400777181,36.40473835402206,35.13223720732189
24h_1h,2061,B2,ordinary,539,6.459248067036215,4.678856051698023,22.19954483932082,0.3503257454215705
24h_1h,2061,B_flat,high_pollution,192,33.727769449696865,21.542945623397827,8.559311588630191,-8.534718592961632
24h_1h,2061,B_flat,rapid_rise,125,38.95141374783495,29.47859262084961,22.618855817413134,-29.47859262084961
24h_1h,2061,B_flat,decline,105,45.68095946526543,35.29282905941918,36.12821165609525,34.728152574811666
24h_1h,2061,B_flat,ordinary,539,6.703553490220284,5.030959920228523,24.90032329658579,0.45438227184628316
24h_1h,2061,B3,high_pollution,192,34.23733033354819,21.895724693934124,8.804938577491257,-9.030534823735554
24h_1h,2061,B3,rapid_rise,125,40.222716229244305,31.476210205078125,24.585133642529698,-31.476210205078125
24h_1h,2061,B3,decline,105,46.53271154280408,35.73284675961449,36.56977717020678,35.34012156895229
24h_1h,2061,B3,ordinary,539,6.634433848489971,4.966824653639643,22.00630449115495,0.40215593808657174
24h_1h,2062,F00,high_pollution,192,34.87786966354368,21.321677605311077,8.510666828631203,-5.372464736302692
24h_1h,2062,F00,rapid_rise,125,40.29194993510317,30.821818756103514,26.216178355485937,-30.794679107666017
24h_1h,2062,F00,decline,105,49.0745385073696,38.00146844046456,37.06092619451198,37.67687272571383
24h_1h,2062,F00,ordinary,539,6.672455340657484,4.833961104638943,22.257414748944438,-0.7146243942911857
24h_1h,2062,F10,high_pollution,192,34.01630361776136,21.65414075056712,8.675674097526588,-9.78881561756134
24h_1h,2062,F10,rapid_rise,125,39.75783737600499,31.022198181152344,24.186915316694297,-31.022198181152344
24h_1h,2062,F10,decline,105,44.25677795347573,33.290916406540646,34.685239551735506,32.756613050188335
24h_1h,2062,F10,ordinary,539,6.746559131980443,5.05060998495523,23.66834065309094,-0.17813237036313997
24h_1h,2062,F01,high_pollution,192,34.978286404228406,21.598950902620953,8.630822502976484,-6.93533217906952
24h_1h,2062,F01,rapid_rise,125,40.3489689291956,30.607144287109374,25.035189768086173,-30.607144287109374
24h_1h,2062,F01,decline,105,48.352884754171455,37.48125127156575,36.85557360817551,37.13835518246605
24h_1h,2062,F01,ordinary,539,6.481837983065651,4.769056118485658,21.45007672933516,0.14492141072515674
24h_1h,2062,F11,high_pollution,192,34.132833703818875,21.748332659403484,8.682483345181575,-9.951377550760908
24h_1h,2062,F11,rapid_rise,125,39.76561550043337,30.682762878417968,23.90612072350158,-30.682762878417968
24h_1h,2062,F11,decline,105,43.67001292024487,32.89005134219215,34.184873141118835,32.2219955444336
