task,seed,variant,horizon_step,cell_count,rmse_ugm3,mae_ugm3,smape_percent,bias_ugm3
168h_6h,2061,F01,1,871,24.87380478237813,15.065146878720972,28.140436420240455,-1.836928073081577
168h_6h,2061,F01,2,871,38.1249439769979,23.999066021083827,40.15665025978058,-1.4751000081356844
168h_6h,2061,F01,3,871,47.637724956463764,31.209973905718833,48.60265261161873,-2.130417408817261
168h_6h,2061,F01,4,871,54.81885063581577,37.51088708030096,57.73665384359187,-2.797947350380478
168h_6h,2061,F01,5,871,60.888698910199615,43.1199604651958,62.16780228906262,-2.9179368396851006
168h_6h,2061,F01,6,871,65.8289640197143,47.31618864144852,66.12206911691206,-4.10749119650209
168h_6h,2061,F11,1,871,24.628253221843845,14.844528079990951,28.55302886656902,-1.2677658247482353
168h_6h,2061,F11,2,871,37.795210324652125,23.942913129874402,40.43876915897662,-1.7818322428058408
168h_6h,2061,F11,3,871,47.119162679638265,31.075145703916846,48.43399584924556,-1.9987655403145972
168h_6h,2061,F11,4,871,54.351376764292766,37.31541124906661,57.58218685294754,-1.986775955568088
168h_6h,2061,F11,5,871,60.42482520288165,43.11796823407424,61.59096161648581,-1.183037325380591
168h_6h,2061,F11,6,871,65.38416117592391,47.338488166011985,66.02625246194629,-3.2608007043429
168h_6h,2061,B1,1,871,24.719797971174753,14.892033026221151,28.39514012753435,-1.3975313407819117
168h_6h,2061,B1,2,871,37.84274987009628,23.964277764549212,40.27782650494795,-1.7576456518863022
168h_6h,2061,B1,3,871,47.155905757576704,31.147680078937867,48.463973670144526,-2.07791938299974
168h_6h,2061,B1,4,871,54.344981121734534,37.36584494554627,57.626949980812306,-2.3302470928765886
168h_6h,2061,B1,5,871,60.40732546083297,43.13049457869765,62.15014659133751,-2.087746301556838
168h_6h,2061,B1,6,871,65.52559447105384,47.411473849063356,65.91701275629711,-2.907622940641594
168h_6h,2061,B2,1,871,24.568042908080315,14.786941313716218,27.326000364287655,-0.4883786671197238
168h_6h,2061,B2,2,871,37.617658379497385,23.837512952452002,40.426128074411096,-1.779912153697315
168h_6h,2061,B2,3,871,47.03255893864799,31.039166166916505,47.83433966605291,-1.6281217625439512
168h_6h,2061,B2,4,871,54.339025833983634,37.35207077884784,57.78460936590844,-3.0534419378374804
168h_6h,2061,B2,5,871,60.40521869385576,43.15423883554172,61.95451701070491,-1.4363513775725865
168h_6h,2061,B2,6,871,65.39569952612612,47.37830292343683,66.10990795203932,-3.3972335797910995
168h_6h,2061,B_flat,1,871,24.69238588709837,15.074880470775161,27.88463664092825,-0.619194429312179
168h_6h,2061,B_flat,2,871,37.7295206122972,24.022401956411507,39.51596697643909,-1.1004166674258105
168h_6h,2061,B_flat,3,871,47.026555692253105,31.221784887302892,48.13423336802518,-1.5706539657715404
168h_6h,2061,B_flat,4,871,54.26825522034901,37.46722251375288,57.148208400797174,-1.855291692862965
168h_6h,2061,B_flat,5,871,60.39422175725613,43.34449654194846,61.90812884311738,-1.8470933215626346
168h_6h,2061,B_flat,6,871,65.44955757162555,47.54030726068192,65.5855753552576,-2.583497666053465
168h_6h,2061,B3,1,871,24.742597210404362,14.877914906095555,28.54600981442853,-1.4017956555231845
168h_6h,2061,B3,2,871,37.8120119392029,23.91347489647148,40.38536131592466,-1.8107008819054518
168h_6h,2061,B3,3,871,47.154287615166616,31.113854058985048,48.421629751841365,-2.103894466921328
168h_6h,2061,B3,4,871,54.36851730987217,37.341235448791295,57.608391070302226,-2.239418586003931
168h_6h,2061,B3,5,871,60.45454167263002,43.1630561995041,62.32194252028489,-2.048808688000615
168h_6h,2061,B3,6,871,65.50533428157136,47.37759111669389,66.02663671984853,-2.74963194521916
168h_6h,2062,F00,1,871,24.67497516994916,15.07422215300778,29.368697916722287,0.9915015771386271
168h_6h,2062,F00,2,871,38.636106883424354,24.312320297539028,40.11974492741149,0.19807927671447817
168h_6h,2062,F00,3,871,48.63128417379675,32.029914755224496,49.79444981976417,-0.48862618885412556
