task,seed,comparison,candidate,baseline,metric,baseline_error,candidate_error,absolute_improvement,relative_improvement_percent,improved
168h_6h,2062,spatial_gain_without_adapter,F10,F00,smape_percent,51.24144295486036,51.24048436920844,0.0009585856519223057,0.0018707233767143198,True
168h_6h,2062,M_vs_locked_ST,F11,F10,rmse_ugm3,50.968045526216166,50.81937037664833,0.14867514956783623,0.29170266984509535,True
168h_6h,2062,M_vs_locked_ST,F11,F10,mae_ugm3,33.46121260857974,33.32763556397559,0.1335770446041522,0.3991996529435455,True
168h_6h,2062,M_vs_locked_ST,F11,F10,smape_percent,51.24048436920844,51.08218548570661,0.1582988835018284,0.30893323014127044,True
168h_6h,2062,combined_vs_degraded,F11,F00,rmse_ugm3,51.47266686584198,50.81937037664833,0.6532964891936501,1.2692104935934208,True
168h_6h,2062,combined_vs_degraded,F11,F00,mae_ugm3,33.615005963249224,33.32763556397559,0.28737039927363384,0.8548872476411622,True
168h_6h,2062,combined_vs_degraded,F11,F00,smape_percent,51.24144295486036,51.08218548570661,0.15925746915375072,0.3107981742318301,True
168h_6h,2062,M_vs_self_history,F11,B1,rmse_ugm3,50.84991340035556,50.81937037664833,0.030543023707231498,0.06006504567029986,True
168h_6h,2062,M_vs_self_history,F11,B1,mae_ugm3,33.28255288043425,33.32763556397559,-0.04508268354133804,-0.13545440370303058,False
168h_6h,2062,M_vs_self_history,F11,B1,smape_percent,50.60351840575412,51.08218548570661,-0.47866707995248703,-0.9459165983566428,False
168h_6h,2062,M_vs_recent_only,F11,B2,rmse_ugm3,50.83303057758112,50.81937037664833,0.01366020093279019,0.026872686474873966,True
168h_6h,2062,M_vs_recent_only,F11,B2,mae_ugm3,33.3029294676403,33.32763556397559,-0.024706096335293637,-0.07418595520042762,False
168h_6h,2062,M_vs_recent_only,F11,B2,smape_percent,51.24735829682878,51.08218548570661,0.16517281112216864,0.3223050252960837,True
168h_6h,2062,M_vs_flat,F11,B_flat,rmse_ugm3,50.65200658128359,50.81937037664833,-0.16736379536474288,-0.330418884977768,False
168h_6h,2062,M_vs_flat,F11,B_flat,mae_ugm3,33.22341501708237,33.32763556397559,-0.1042205468932238,-0.3136960689912132,False
168h_6h,2062,M_vs_flat,F11,B_flat,smape_percent,51.302291299751424,51.08218548570661,0.220105814044814,0.42903700491420443,True
168h_6h,2062,M_vs_uniform_gate,F11,B3,rmse_ugm3,50.9111292930767,50.81937037664833,0.09175891642836831,0.18023351220544703,True
168h_6h,2062,M_vs_uniform_gate,F11,B3,mae_ugm3,33.391934956529795,33.32763556397559,0.06429939255420436,0.1925596484238198,True
168h_6h,2062,M_vs_uniform_gate,F11,B3,smape_percent,51.357998237050914,51.08218548570661,0.2758127513443043,0.5370395280424427,True
