scope,task,fold,model,alpha,horizon_step,rmse,mae,smape_percent
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,100.0,4,32.76353326728543,23.66256520195321,40.97525857421995
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,100.0,5,36.45823521113059,26.81844502536469,44.7118879350409
selection_interval_L0_not_test_not_neural,168h_6h,2,R_self,100.0,6,39.176837008495546,29.22914448674536,47.86587442722198
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.0001,1,12.09716108467511,8.107042690690104,18.22953552370696
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.0001,2,20.515164117401895,14.122655100990753,27.50524796344201
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.0001,3,26.96180792040353,18.868731814349083,34.79905258056477
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.0001,4,31.84623284978957,22.722541006814392,39.50240539719933
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.0001,5,35.49462278454251,25.84765547581639,43.88075312399996
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.0001,6,38.12950945102543,28.222799355940058,46.995520697172246
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.001,1,12.097161354723193,8.10704278386912,18.229528246078083
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.001,2,20.515164248109574,14.122655188298076,27.50524631787042
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.001,3,26.96180767558744,18.86873179479071,34.79905191211232
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.001,4,31.846232485026423,22.722540924551165,39.50240527735196
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.001,5,35.49462240046995,25.847655115730102,43.88075316247726
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.001,6,38.129509246050404,28.222798891551275,46.995520578633354
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.01,1,12.097164055921661,8.107043715681746,18.229455472332905
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.01,2,20.515165555562923,14.12265606137204,27.50522986219447
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.01,3,26.961805227761783,18.86873159925999,34.79904522766541
selection_interval_L0_not_test_not_neural,168h_6h,2,R_recent,0.01,4,31.846228837647136,22.72254010196606,39.50240407892072
